Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"Apple iPhone XR (Blue, 128 GB) (Includes EarPods, Power Adapter)",4.6,128,15.49,A12,100918.0,8544.0,52900
"APPLE iPhone 7 Plus (Rose Gold, 256 GB)",4.5,256,13.97,,29840.0,2993.0,85400
"APPLE iPhone XR (Yellow, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,47900
"APPLE iPhone XR (Blue, 64 GB)",4.6,64,15.49,A12,100918.0,8544.0,47900
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone XS Max (Gold, 64 GB)",4.6,64,16.51,A12,1453.0,146.0,109900
"APPLE iPhone 12 Pro (Graphite, 512 GB)",4.5,512,15.49,A14,1332.0,,106699
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)",4.6,64,15.49,A12,100918.0,8544.0,36999
"APPLE iPhone 11 Pro Max (Midnight Green, 512 GB)",4.7,512,16.51,A13,1101.0,100.0,150800
"APPLE iPhone 11 Pro Max (Space Grey, 512 GB)",4.7,512,16.51,A13,1101.0,100.0,150800
"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)",4.5,256,11.94,A13,154498.0,12077.0,40990
"APPLE iPhone 12 Pro Max (Gold, 512 GB)",4.5,512,17.02,A14,1270.0,103.0,123299
"APPLE iPhone 14 Pro Max (Silver, 256 GB)",4.6,256,17.02,A16,1985.0,145.0,137999
"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)",4.7,256,15.49,A15,1483.0,122.0,129900
"APPLE iPhone 14 Pro (Gold, 512 GB)",4.6,512,15.49,A16,1781.0,130.0,149999
"APPLE iPhone 6s Plus (Rose Gold, 64 GB)",4.4,64,13.97,,18836.0,2375.0,59999
"APPLE iPhone 11 Pro Max (Gold, 256 GB)",4.7,256,16.51,A13,1101.0,100.0,131900
"APPLE iPhone 11 Pro (Gold, 512 GB)",4.6,512,14.73,A13,8676.0,629.0,140300
"APPLE iPhone 12 Pro (Graphite, 256 GB)",4.5,256,15.49,A14,1332.0,,88199
"APPLE iPhone 13 mini (Starlight, 512 GB)",4.5,512,13.72,A15,3497.0,302.0,91999
"APPLE iPhone 11 (Red, 64 GB)",4.6,64,15.49,A13,200360.0,11406.0,37999
"APPLE iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32,13.94,,29840.0,2993.0,37900
"APPLE iPhone 6s Plus (Space Grey, 32 GB)",4.4,32,13.97,,18836.0,2375.0,34900
"APPLE iPhone XR (Coral, 128 GB)",4.6,128,15.49,A12,100918.0,8544.0,52900
"APPLE iPhone 13 mini (Pink, 512 GB)",4.5,512,13.72,A15,3497.0,302.0,91999
"APPLE iPhone 12 mini (Green, 64 GB)",4.5,64,13.72,A14,129311.0,10267.0,50999
